,gmt,iata_code,city_iata_code,icao_code,country_iso2,geoname_id,latitude,longitude,airport_name,country_name,phone_number,timezone
0,-10,AAA,AAA,NTGA,PF,6947726,-17.05,-145.41667,Anaa,French Polynesia,,Pacific/Tahiti
1,10,AAB,AAB,YARY,AU,7730796,-26.7,141.04167,Arrabury,Australia,,Australia/Brisbane
2,2,AAC,AAC,HEAR,EG,6297289,31.133333,33.75,El Arish International Airport,Egypt,,Africa/Cairo
3,1,AAE,AAE,DABB,DZ,2570559,36.821392,7.811857,Les Salines,,,Africa/Algiers
4,-5,AAF,AAF,KAAF,US,4146153,29.733334,-84.98333,Apalachicola Regional,United States,,America/New_York
5,-3,AAG,AAG,SSYA,BR,3471795,-24.103611,-49.79,Arapoti,Brazil,,America/Sao_Paulo
6,1,AAH,AAH,EDKA,DE,3247449,50.75,6.133333,Aachen/Merzbruck,Germany,,Europe/Berlin
7,-3,AAI,AAI,SWRA,BR,7668483,-12.916667,-46.933334,Arraias,Brazil,,America/Araguaina
8,12,AAK,AAK,NGUK,KI,7521791,0.166667,173.58333,Aranuka,Kiribati,,Pacific/Tarawa
9,1,AAL,AAL,EKYT,DK,2624887,57.08655,9.872241,Aalborg,Denmark,,Europe/Copenhagen
10,2,AAM,AAM,FAMD,ZA,7668229,-24.8,31.533333,Mala Mala,South Africa,,Africa/Johannesburg
11,4,AAN,AAN,OMAL,AE,6300095,24.260231,55.616627,Al Ain,United Arab Emirates,,Asia/Dubai
12,3,AAQ,AAQ,URKA,RU,6300989,44.9,37.316666,Anapa,Russia,,Europe/Moscow
13,1,AAR,AAR,EKAH,DK,2611665,56.30823,10.626351,Aarhus Airport,Denmark,,Europe/Copenhagen
14,8,AAT,AAT,ZWAT,CN,7910421,47.750362,88.08444,Altay,China,,Asia/Shanghai
15,-3,AAX,AAX,SBAX,BR,7668431,-19.568056,-46.92917,Araxa,Brazil,,America/Sao_Paulo
16,3,AAY,AAY,OYGD,YE,7668412,16.19596,52.173256,Al Ghaydah,Yemen,,Asia/Aden
17,-6,AAZ,AAZ,MGQZ,GT,6299804,14.87,-91.5,Quetzaltenango,Guatemala,,America/Guatemala
18,7,ABA,ABA,UNAA,RU,6300982,53.716667,91.5,Abakan,Russia,,Asia/Krasnoyarsk
19,1,ABB,ABB,EGUD,NG,7668214,51.666668,-1.283333,RAF Station,Nigeria,,Africa/Lagos
